agey,serogroup,country,survyr,ipd
83,PPV23,Brazil,2016,1
84,PPV23,Brazil,2016,5
85,PPV23,Brazil,2016,3
86,PPV23,Brazil,2016,3
87,PPV23,Brazil,2016,1
88,PPV23,Brazil,2016,0
89,PPV23,Brazil,2016,0
90,PPV23,Brazil,2016,5
55,PCV13,Brazil,2017,4
56,PCV13,Brazil,2017,4
57,PCV13,Brazil,2017,3
58,PCV13,Brazil,2017,2
59,PCV13,Brazil,2017,6
60,PCV13,Brazil,2017,4
61,PCV13,Brazil,2017,5
62,PCV13,Brazil,2017,4
63,PCV13,Brazil,2017,3
64,PCV13,Brazil,2017,3
65,PCV13,Brazil,2017,8
66,PCV13,Brazil,2017,4
67,PCV13,Brazil,2017,4
68,PCV13,Brazil,2017,3
69,PCV13,Brazil,2017,3
70,PCV13,Brazil,2017,1
71,PCV13,Brazil,2017,5
72,PCV13,Brazil,2017,8
73,PCV13,Brazil,2017,1
74,PCV13,Brazil,2017,1
75,PCV13,Brazil,2017,0
76,PCV13,Brazil,2017,4
77,PCV13,Brazil,2017,0
78,PCV13,Brazil,2017,1
79,PCV13,Brazil,2017,2
80,PCV13,Brazil,2017,4
81,PCV13,Brazil,2017,2
82,PCV13,Brazil,2017,2
83,PCV13,Brazil,2017,2
84,PCV13,Brazil,2017,0
85,PCV13,Brazil,2017,0
86,PCV13,Brazil,2017,1
87,PCV13,Brazil,2017,0
88,PCV13,Brazil,2017,3
89,PCV13,Brazil,2017,0
90,PCV13,Brazil,2017,3
55,PCV15,Brazil,2017,4
56,PCV15,Brazil,2017,4
57,PCV15,Brazil,2017,4
58,PCV15,Brazil,2017,3
59,PCV15,Brazil,2017,6
60,PCV15,Brazil,2017,7
61,PCV15,Brazil,2017,6
62,PCV15,Brazil,2017,4
63,PCV15,Brazil,2017,3
64,PCV15,Brazil,2017,3
65,PCV15,Brazil,2017,8
66,PCV15,Brazil,2017,4
67,PCV15,Brazil,2017,4
68,PCV15,Brazil,2017,5
69,PCV15,Brazil,2017,3
70,PCV15,Brazil,2017,1
71,PCV15,Brazil,2017,5
72,PCV15,Brazil,2017,8
73,PCV15,Brazil,2017,1
74,PCV15,Brazil,2017,1
75,PCV15,Brazil,2017,1
76,PCV15,Brazil,2017,4
77,PCV15,Brazil,2017,1
78,PCV15,Brazil,2017,2
79,PCV15,Brazil,2017,2
80,PCV15,Brazil,2017,4
81,PCV15,Brazil,2017,3
82,PCV15,Brazil,2017,2
83,PCV15,Brazil,2017,2
84,PCV15,Brazil,2017,0
85,PCV15,Brazil,2017,0
86,PCV15,Brazil,2017,1
87,PCV15,Brazil,2017,0
88,PCV15,Brazil,2017,3
89,PCV15,Brazil,2017,1
90,PCV15,Brazil,2017,4
55,PCV20,Brazil,2017,5
56,PCV20,Brazil,2017,4
57,PCV20,Brazil,2017,5
58,PCV20,Brazil,2017,4
59,PCV20,Brazil,2017,7
60,PCV20,Brazil,2017,9
61,PCV20,Brazil,2017,7
62,PCV20,Brazil,2017,6
63,PCV20,Brazil,2017,5
64,PCV20,Brazil,2017,5
65,PCV20,Brazil,2017,9
66,PCV20,Brazil,2017,4
67,PCV20,Brazil,2017,4
68,PCV20,Brazil,2017,5
69,PCV20,Brazil,2017,3
70,PCV20,Brazil,2017,3
71,PCV20,Brazil,2017,8
72,PCV20,Brazil,2017,8
73,PCV20,Brazil,2017,2
74,PCV20,Brazil,2017,1
75,PCV20,Brazil,2017,1
76,PCV20,Brazil,2017,5
77,PCV20,Brazil,2017,2
78,PCV20,Brazil,2017,3
79,PCV20,Brazil,2017,2
80,PCV20,Brazil,2017,4
81,PCV20,Brazil,2017,6
82,PCV20,Brazil,2017,3
83,PCV20,Brazil,2017,4
84,PCV20,Brazil,2017,2
85,PCV20,Brazil,2017,1
86,PCV20,Brazil,2017,2
87,PCV20,Brazil,2017,0
88,PCV20,Brazil,2017,4
89,PCV20,Brazil,2017,2
90,PCV20,Brazil,2017,4
55,PPV23,Brazil,2017,5
56,PPV23,Brazil,2017,5
57,PPV23,Brazil,2017,5
58,PPV23,Brazil,2017,5
59,PPV23,Brazil,2017,8
60,PPV23,Brazil,2017,12
61,PPV23,Brazil,2017,8
62,PPV23,Brazil,2017,7
63,PPV23,Brazil,2017,5
64,PPV23,Brazil,2017,5
65,PPV23,Brazil,2017,10
66,PPV23,Brazil,2017,5
67,PPV23,Brazil,2017,4
68,PPV23,Brazil,2017,5
69,PPV23,Brazil,2017,3
70,PPV23,Brazil,2017,5
71,PPV23,Brazil,2017,9
72,PPV23,Brazil,2017,8
73,PPV23,Brazil,2017,4
74,PPV23,Brazil,2017,2
75,PPV23,Brazil,2017,1
76,PPV23,Brazil,2017,6
77,PPV23,Brazil,2017,2
78,PPV23,Brazil,2017,4
79,PPV23,Brazil,2017,2
80,PPV23,Brazil,2017,3
81,PPV23,Brazil,2017,6
82,PPV23,Brazil,2017,3
83,PPV23,Brazil,2017,4
84,PPV23,Brazil,2017,2
85,PPV23,Brazil,2017,1
86,PPV23,Brazil,2017,2
87,PPV23,Brazil,2017,0
88,PPV23,Brazil,2017,4
89,PPV23,Brazil,2017,2
90,PPV23,Brazil,2017,4
55,All,Brazil,2015-17,18
56,All,Brazil,2015-17,26
57,All,Brazil,2015-17,29
58,All,Brazil,2015-17,28
59,All,Brazil,2015-17,27
60,All,Brazil,2015-17,31
61,All,Brazil,2015-17,31
62,All,Brazil,2015-17,22
63,All,Brazil,2015-17,18
64,All,Brazil,2015-17,19
65,All,Brazil,2015-17,26
66,All,Brazil,2015-17,19
67,All,Brazil,2015-17,16
68,All,Brazil,2015-17,13
69,All,Brazil,2015-17,13
70,All,Brazil,2015-17,18
71,All,Brazil,2015-17,22
72,All,Brazil,2015-17,23
73,All,Brazil,2015-17,11
74,All,Brazil,2015-17,15
75,All,Brazil,2015-17,8
76,All,Brazil,2015-17,14
77,All,Brazil,2015-17,6
78,All,Brazil,2015-17,11
79,All,Brazil,2015-17,4
80,All,Brazil,2015-17,12
81,All,Brazil,2015-17,15
82,All,Brazil,2015-17,7
83,All,Brazil,2015-17,6
84,All,Brazil,2015-17,10
85,All,Brazil,2015-17,5
86,All,Brazil,2015-17,5
87,All,Brazil,2015-17,4
88,All,Brazil,2015-17,6
89,All,Brazil,2015-17,3
90,All,Brazil,2015-17,18
55,PCV13,South Africa,2015,9
56,PCV13,South Africa,2015,5
57,PCV13,South Africa,2015,3
58,PCV13,South Africa,2015,8
59,PCV13,South Africa,2015,4
